;t100;indep;t900;a201
338;2021-09;1;332889.648;Convenience
339;2021-09;1;4340.418;Federwild
340;2021-09;1;3159283.091;Fisch
341;2021-09;1;1411852.573;Fleisch
342;2021-09;1;9326.5;Früchte
343;2021-09;1;1537030.859;Geflügel
344;2021-09;1;33057.8;Gemüse
345;2021-09;1;306339.893;Haarwild
346;2021-09;1;7487.2;Kolonialwaren
347;2021-09;1;7707.815;Konserven divers
348;2021-09;1;1089781.259;Krusten/Sch-Weichtie
349;2021-09;1;74775.465;Milchprodukte
350;2021-09;1;167.1;Non Food
351;2021-09;1;26366.815;Nordsee
352;2021-09;1;13169.55;Oel/Essig/Senf
353;2021-09;1;15022.215;Pasteten/Terrinen
354;2021-09;1;86744.216;Pilze
355;2021-09;1;357;Post/cargo
356;2021-09;1;78693.224;Teigw./Spätzli/Gnoc.
357;2021-10;0;161812.33;Convenience
358;2021-10;0;17400.359;Federwild
359;2021-10;0;2463666.151;Fisch
360;2021-10;0;1433941.039;Fleisch
361;2021-10;0;10185.55;Früchte
362;2021-10;0;1236765.7;Geflügel
363;2021-10;0;19391.5;Gemüse
364;2021-10;0;199.742;Gesperrte Artikel
365;2021-10;0;587311.886;Haarwild
366;2021-10;0;3601.05;Kolonialwaren
367;2021-10;0;5161.05;Konserven divers
368;2021-10;0;1060387.087;Krusten/Sch-Weichtie
369;2021-10;0;46706.308;Milchprodukte
370;2021-10;0;1227.2;Non Food
371;2021-10;0;857.778;Nordsee
372;2021-10;0;5878.875;Oel/Essig/Senf
373;2021-10;0;9038.866;Pasteten/Terrinen
374;2021-10;0;110501.52;Pilze
375;2021-10;0;454.8;Post/cargo
376;2021-10;0;48192.42;Teigw./Spätzli/Gnoc.
377;2021-10;1;8600;Bofrost
378;2021-10;1;338723.673;Convenience
379;2021-10;1;4223.486;Federwild
380;2021-10;1;2691350.288;Fisch
381;2021-10;1;1181016.136;Fleisch
382;2021-10;1;9853.65;Früchte
383;2021-10;1;1423105.725;Geflügel
384;2021-10;1;27357.15;Gemüse
385;2021-10;1;362563.23;Haarwild
386;2021-10;1;5471.85;Kolonialwaren
387;2021-10;1;5971.51;Konserven divers
388;2021-10;1;1040359.179;Krusten/Sch-Weichtie
389;2021-10;1;56678.96;Milchprodukte
390;2021-10;1;2331;Non Food
391;2021-10;1;31571.958;Nordsee
392;2021-10;1;8220.55;Oel/Essig/Senf
393;2021-10;1;16053.917;Pasteten/Terrinen
394;2021-10;1;94362.94;Pilze
395;2021-10;1;64.6;Post/cargo
396;2021-10;1;78125.26;Teigw./Spätzli/Gnoc.
397;2021-11;0;164379.732;Convenience
398;2021-11;0;9424.325;Federwild
399;2021-11;0;2337418.757;Fisch
400;2021-11;0;1483554.042;Fleisch
401;2021-11;0;10780.1;Früchte
402;2021-11;0;1186177.932;Geflügel
